sampleId	species_name	species_initial	Experimental_condition	type	Line_origin	Research_Team	Set	latitude	longitude	altitude	continent	country_code	state_province_code	city	locale	collection_day	collection_month	collection_year	date	bio_rep	tech_rep	fruit_type		
#DO NOT FILL. This autocompletes.	use "_" instead of spaces	first three letters of species name	add experimental conditions separates by a "_". if wild, write "wild".. all lower caps	DO NOT FILL. This autocompletes.	Is this a wild-caught or isofemale, or isogenic, or experiment (i.e, experimental evolution)	Who is the lead analysist of this sample	Group samples by an analysis set	at least 3 decimals	at least 3 decimals	at least 3 decimals in meters	use "_" instead of spaces. Capitalize first letter	use ISO 3166 code	use ISO 3166 code	use "_" instead of spaces. Capitalize first letter	DO NOT FILL. This autocompletes.	numerical	numerical	numerical	DO NOT FILL. This autocompletes.	bio replicate id, if none, write 1	technical replicate id, if none, write 1	collection from a fruit? -- which one	FQ_R1	FQ_R2
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_3.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_3/DP_B_O_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_4.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_5.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_6.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_7.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_8.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_8	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_9.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_9	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_9/DP_B_O_9_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_9/DP_B_O_9_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_10.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_11.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_12.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_12	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_12/DP_B_O_12_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_12/DP_B_O_12_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_13.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_13	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_13/DP_B_O_13_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_13/DP_B_O_13_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_14.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_14	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_15.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_15	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_15/DP_B_O_15_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_15/DP_B_O_15_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_1.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_1/DP_S_T_1_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_1/DP_S_T_1_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_2.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_2/DP_S_T_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_2/DP_S_T_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_3.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_3/DP_S_T_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_3/DP_S_T_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_4.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_4/DP_S_T_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_4/DP_S_T_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_5.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_5/DP_S_T_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_5/DP_S_T_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_6.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_6/DP_S_T_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_6/DP_S_T_6_2.fq.gz
D_spr.wild.US-HI-Tom.27/1/2023.w.DP_S_T_7.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_S_T_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_7/DP_S_T_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_7/DP_S_T_7_2.fq.gz
